pg_id,zip5,med_inc,rating,cae,const,birth_date,age,pg_age,degree_count,child_count,married,evnt,stu_grp,lub_yrs,gillett,prior_giv,log_pgiv,ttl_gv,log_tg
83401,49331,62744,25000,I     ,I     ,6/24/1964,51,0,0,0,0,0,0,0,0,0,0,600,2.778874472
693159,49525,56890,0,I     ,I     , ,0,0,0,0,1,0,0,0,0,0,0,25,1.414973348
530626,49424,55297,100000,I     ,I     ,11/20/1947,67,0,0,0,1,1,0,3,0,0,0,6000,3.778223627
601493,78759,66828,0,I     ,I     , ,0,0,0,0,1,0,0,0,0,0,0,50,1.707570176
668577,49404,56798,0,I     ,S     ,1/25/1955,60,0,0,0,1,0,0,0,0,0,0,25,1.414973348
172823,49405,37969,10000,I     ,I     , ,0,0,0,0,1,0,0,0,0,0,0,50,1.707570176
636887,48313,59036,10000,A     ,I     ,8/22/1989,25,0,1,0,0,1,3,0,0,0,0,6,0.84509804
665312,48439,62245,0,P     ,I     , ,0,0,0,1,1,0,0,0,0,0,0,50,1.707570176
141025,49426,70507,5000,I     ,I     , ,0,0,0,1,0,0,0,0,0,0,0,20,1.322219295
115382,22556,101463,15000,A     ,I     ,10/18/1971,43,0,1,2,1,0,1,0,0,0,0,50,1.707570176
128051,49519,44291,1000,A     ,I     , ,0,0,1,0,0,0,0,0,0,0,0,190,2.281033367
4252,49423,47522,5000,I     ,I     , ,0,0,0,0,0,0,0,0,0,0,0,40,1.612783857
727267,49509,42181,0,I     ,I     , ,0,0,0,0,1,1,0,3,0,0,0,2370.08,3.374946207
102207,49024,61907,10000,A     ,I     ,12/18/1966,48,0,1,2,1,0,1,0,0,0,0,25,1.414973348
104157,49712,46356,15000,A     ,I     ,11/23/1967,47,0,2,0,1,0,1,0,0,0,0,20,1.322219295
613728,49428,57859,1000,A     ,I     ,10/27/1983,31,0,2,0,1,0,1,0,0,0,0,1,0.301029996
631233,81007,65384,0,A     ,I     ,3/10/1986,29,0,1,1,1,0,1,0,0,0,0,50,1.707570176
11751,49307,36331,0,P     ,I     , ,0,0,0,1,1,0,0,0,0,0,0,25,1.414973348
610069,48313,59036,0,P     ,I     , ,0,0,0,1,1,0,0,0,0,0,0,25,1.414973348
524348,68127,46663,0,I     ,I     , ,0,0,0,0,1,0,0,0,0,0,0,350,2.545307116
639355, ,0,0,I     ,I     , ,0,0,0,0,1,0,0,0,0,0,0,37.5,1.58546073
128654,49519,44291,5000,A     ,I     ,7/8/1970,45,0,1,4,1,0,0,0,0,0,0,147,2.170261715
52486,49015,49877,15000,I     ,I     , ,0,0,0,0,1,0,0,0,0,0,0,150,2.178976947
110047,49431,41818,10000,A     ,I     , ,0,0,1,0,0,0,0,0,0,0,0,150,2.178976947
555395,49684,52852,0,P     ,I     , ,0,0,0,2,1,0,0,0,0,0,0,225,2.354108439
119540,48823,39692,10000,A     ,I     ,2/26/1966,49,0,1,0,0,0,0,0,0,0,0,50,1.707570176
113579,49341,74626,10000,A     ,I     , ,0,0,1,2,1,0,0,0,0,0,0,400,2.603144373
110141,48854,63552,10000,A     ,I     , ,0,0,1,0,1,0,0,0,0,0,0,1350,3.130655349
695362,2115,27134,0,I     ,I     , ,0,0,0,0,0,0,0,2,0,0,0,150,2.178976947
152496,60181,69144,15000,I     ,I     ,8/2/1914,100,0,0,0,0,0,0,0,0,0,0,25,1.414973348
120821,49424,55297,5000,A     ,I     ,3/7/1959,56,0,1,3,0,0,1,0,0,0,0,25,1.414973348
647274,49525,56890,0,A     ,I     ,5/22/1992,23,0,1,0,0,1,2,0,0,0,0,75,1.880813592
126580,49506,65260,10000,A     ,I     ,3/19/1974,41,0,1,0,0,1,1,0,0,0,0,130,2.117271296
607863,48098,113574,0,P     ,I     , ,0,0,0,1,1,0,0,0,0,0,0,150,2.178976947
542554,49085,62077,0,P     ,I     , ,0,0,0,1,1,1,0,0,0,0,0,100,2.004321374
112485,48071,40140,0,A     ,I     ,7/21/1980,34,0,1,0,0,0,1,0,0,0,0,20,1.322219295
